country,num_living_languages
Afghanistan,41
Africa,2193
Aland Islands,3
Albania,10
Algeria,20
American Samoa,2
Andorra,5
Angola,47
Anguilla,2
Antigua and Barbuda,2
Argentina,27
Armenia,12
Aruba,5
Asia,2370
Australia,225
Austria,17
Azerbaijan,18
Bahamas,3
Bahrain,6
Bangladesh,43
Barbados,3
Belarus,7
Belgium,12
Belize,9
Benin,55
Bermuda,2
Bhutan,23
Bolivia,44
Bonaire Sint Eustatius and Saba,6
Bosnia and Herzegovina,7
Botswana,29
Brazil,222
British Indian Ocean Territory,2
British Virgin Islands,3
Brunei,17
Bulgaria,16
Burkina Faso,71
Burundi,5
Cambodia,29
Cameroon,280
Canada,101
Cape Verde,2
Cayman Islands,2
Central African Republic,73
Chad,129
Chile,13
China,309
Christmas Island,3
Cocos Islands,2
Colombia,89
Comoros,7
Congo,62
Cook Islands,5
Costa Rica,14
Cote d'Ivoire,88
Croatia,19
Cuba,3
Curacao,5
Cyprus,8
Czechia,12
Democratic Republic of Congo,211
Denmark,7
Djibouti,5
Dominica,5
Dominican Republic,5
East Timor,22
Ecuador,24
Egypt,21
El Salvador,6
Equatorial Guinea,15
Eritrea,15
Estonia,10
Eswatini,5
Ethiopia,92
Europe,329
Falkland Islands,1
Faroe Islands,3
Fiji,15
Finland,15
France,36
French Guiana,13
French Polynesia,9
Gabon,43
Gambia,13
Georgia,22
Germany,30
Ghana,83
Gibraltar,3
Greece,23
Greenland,3
Grenada,4
Guadeloupe,3
Guam,4
Guatemala,27
Guernsey,3
Guinea,37
Guinea-Bissau,25
Guyana,18
Haiti,4
Honduras,10
Hong Kong,7
Hungary,20
Iceland,3
India,454
Indonesia,709
Iran,78
Iraq,25
Ireland,9
Isle of Man,3
Israel,38
Italy,36
Jamaica,4
Japan,20
Jersey,3
Jordan,12
Kazakhstan,16
Kenya,68
Kiribati,2
Kuwait,6
Kyrgyzstan,9
Laos,88
Latvia,11
Lebanon,8
Lesotho,5
Liberia,31
Libya,10
Liechtenstein,4
Lithuania,13
Luxembourg,7
Macao,6
Madagascar,14
Malawi,17
Malaysia,133
Maldives,2
Mali,69
Malta,6
Marshall Islands,2
Martinique,4
Mauritania,7
Mauritius,9
Mayotte,4
Mexico,296
Micronesia (country),18
Moldova,12
Monaco,6
Mongolia,13
Montenegro,10
Montserrat,2
Morocco,16
Mozambique,43
Myanmar,125
Namibia,28
Nauru,3
Nepal,123
Netherlands,18
New Caledonia,38
New Zealand,4
Nicaragua,11
Niger,25
Nigeria,530
Niue,2
Norfolk Island,2
North America,656
North Korea,2
North Macedonia,14
Northern Mariana Islands,5
Norway,12
Oceania,1338
Oman,17
Pakistan,80
Palau,4
Palestine,8
Panama,15
Papua New Guinea,843
Paraguay,24
Peru,95
Philippines,184
Pitcairn,2
Poland,23
Portugal,15
Puerto Rico,4
Qatar,5
Reunion,3
Romania,29
Russia,119
Rwanda,6
Saint Barthelemy,3
Saint Helena,1
Saint Kitts and Nevis,3
Saint Lucia,3
Saint Martin (French part),5
Saint Pierre and Miquelon,1
Saint Vincent and the Grenadines,3
Samoa,2
San Marino,2
Sao Tome and Principe,7
Saudi Arabia,12
Senegal,39
Serbia,22
Seychelles,4
Sierra Leone,24
Singapore,25
Sint Maarten (Dutch part),5
Slovakia,13
Slovenia,12
Solomon Islands,72
Somalia,13
South Africa,31
South America,485
South Korea,5
South Sudan,72
Spain,21
Sri Lanka,7
Sudan,80
Suriname,22
Sweden,18
Switzerland,13
Syria,17
Taiwan,26
Tajikistan,13
Tanzania,127
Thailand,78
Togo,44
Tokelau,3
Tonga,3
Trinidad and Tobago,7
Tunisia,6
Turkey,44
Turkmenistan,8
Turks and Caicos Islands,2
Tuvalu,3
Uganda,44
Ukraine,23
United Arab Emirates,11
United Kingdom,18
United States,239
United States Virgin Islands,4
Uruguay,6
Uzbekistan,13
Vanuatu,107
Vatican,2
Venezuela,44
Vietnam,111
Wallis and Futuna,3
Western Sahara,5
World,7159
Yemen,13
Zambia,47
Zimbabwe,23
